date,precip_mm,year
2012-01-01,0,2012
2012-01-02,0,2012
2012-01-03,0,2012
2012-01-04,0,2012
2012-01-05,0,2012
2012-01-06,0,2012
2012-01-07,0,2012
2012-01-08,0,2012
2012-01-09,0,2012
2012-01-10,0,2012
2012-01-11,0.762,2012
2012-01-12,0,2012
2012-01-13,0,2012
2012-01-14,0.508,2012
2012-01-15,0,2012
2012-01-16,0,2012
2012-01-17,0.762,2012
2012-01-18,0,2012
2012-01-19,0,2012
2012-01-20,2.794,2012
2012-01-21,0,2012
2012-01-22,2.54,2012
2012-01-23,1.016,2012
2012-01-24,0,2012
2012-01-25,0,2012
2012-01-26,0,2012
2012-01-27,1.016,2012
2012-01-28,0,2012
2012-01-29,0,2012
2012-01-30,0,2012
2012-01-31,0,2012
2012-02-01,0,2012
2012-02-02,0,2012
2012-02-03,1.524,2012
2012-02-04,1.524,2012
2012-02-05,0,2012
2012-02-06,0,2012
2012-02-07,0,2012
2012-02-08,0,2012
2012-02-09,0,2012
2012-02-10,0,2012
2012-02-11,0,2012
2012-02-12,0,2012
2012-02-13,2.032,2012
2012-02-14,0,2012
2012-02-15,0,2012
2012-02-16,0,2012
2012-02-17,0,2012
2012-02-18,0,2012
2012-02-19,0,2012
2012-02-20,7.62,2012
2012-02-21,0.762,2012
2012-02-22,0,2012
2012-02-23,6.8580000000000005,2012
2012-02-24,0.254,2012
2012-02-25,0,2012
2012-02-26,0,2012
2012-02-27,0,2012
2012-02-28,14.224,2012
2012-02-29,3.81,2012
2012-03-01,0,2012
2012-03-02,0.762,2012
2012-03-03,0,2012
2012-03-04,4.064,2012
2012-03-05,0,2012
2012-03-06,0,2012
2012-03-07,0,2012
2012-03-08,0,2012
2012-03-09,0,2012
2012-03-10,0,2012
2012-03-11,3.556,2012
2012-03-12,0.508,2012
2012-03-13,0,2012
2012-03-14,0,2012
2012-03-15,0,2012
2012-03-16,0,2012
2012-03-17,0,2012
2012-03-18,0,2012
2012-03-19,16.256,2012
2012-03-20,2.54,2012
2012-03-21,0.762,2012
2012-03-22,3.048,2012
2012-03-23,0,2012
2012-03-24,0,2012
2012-03-25,0,2012
2012-03-26,0,2012
2012-03-27,0,2012
2012-03-28,0,2012
2012-03-29,3.048,2012
2012-03-30,8.89,2012
2012-03-31,0,2012
2012-04-01,0,2012
2012-04-02,0,2012
2012-04-03,0,2012
2012-04-04,0,2012
2012-04-05,0,2012
2012-04-06,0,2012
2012-04-07,1.27,2012
2012-04-08,0,2012
2012-04-09,0,2012
2012-04-10,0,2012
2012-04-11,0,2012
2012-04-12,0,2012
2012-04-13,11.176,2012
2012-04-14,30.733999999999998,2012
2012-04-15,3.81,2012
2012-04-16,0,2012
2012-04-17,0,2012
2012-04-18,4.572,2012
2012-04-19,14.478,2012
2012-04-20,0,2012
2012-04-21,2.286,2012
2012-04-22,0,2012
2012-04-23,0,2012
2012-04-24,0,2012
2012-04-25,0,2012
2012-04-26,0,2012
2012-04-27,3.556,2012
2012-04-28,7.62,2012
2012-04-29,4.8260000000000005,2012
2012-04-30,0,2012
2012-05-01,0,2012
2012-05-02,13.716000000000001,2012
2012-05-03,1.524,2012
2012-05-04,0,2012
2012-05-05,0,2012
2012-05-06,12.7,2012
2012-05-07,0,2012
2012-05-08,0,2012
2012-05-09,0,2012
2012-05-10,0,2012
2012-05-11,0,2012
2012-05-12,0,2012
2012-05-13,0,2012
2012-05-14,0,2012
2012-05-15,0,2012
2012-05-16,0,2012
2012-05-17,0,2012
2012-05-18,0,2012
2012-05-19,1.27,2012
2012-05-20,0,2012
2012-05-21,0,2012
2012-05-22,0,2012
2012-05-23,0,2012
2012-05-24,4.318,2012
2012-05-25,2.54,2012
2012-05-26,0,2012
2012-05-27,0,2012
2012-05-28,1.016,2012
2012-05-29,0,2012
2012-05-30,5.08,2012
2012-05-31,7.62,2012
2012-06-01,0,2012
2012-06-02,0.508,2012
2012-06-03,0.254,2012
2012-06-04,0,2012
2012-06-05,0.508,2012
2012-06-06,0,2012
2012-06-07,0,2012
2012-06-08,0,2012
2012-06-09,0,2012
2012-06-10,4.572,2012
2012-06-11,0.254,2012
2012-06-12,0,2012
2012-06-13,0,2012
2012-06-14,0,2012
2012-06-15,20.828,2012
2012-06-16,0.254,2012
2012-06-17,0,2012
2012-06-18,0,2012
2012-06-19,0,2012
2012-06-20,24.637999999999998,2012
2012-06-21,0,2012
2012-06-22,0,2012
2012-06-23,3.556,2012
2012-06-24,0,2012
2012-06-25,0,2012
2012-06-26,0,2012
2012-06-27,0,2012
2012-06-28,0,2012
2012-06-29,1.016,2012
2012-06-30,0,2012
2012-07-01,0,2012
2012-07-02,0,2012
2012-07-03,0,2012
2012-07-04,0,2012
2012-07-05,1.524,2012
2012-07-06,0,2012
2012-07-07,0,2012
2012-07-08,0,2012
2012-07-09,1.27,2012
2012-07-10,0,2012
2012-07-11,0,2012
2012-07-12,0,2012
2012-07-13,2.032,2012
2012-07-14,0.508,2012
2012-07-15,0,2012
2012-07-16,0,2012
2012-07-17,0,2012
2012-07-18,0,2012
2012-07-19,0,2012
2012-07-20,0,2012
2012-07-21,0,2012
2012-07-22,0,2012
2012-07-23,0.254,2012
2012-07-24,0,2012
2012-07-25,9.652000000000001,2012
2012-07-26,0,2012
2012-07-27,0,2012
2012-07-28,13.716000000000001,2012
2012-07-29,2.54,2012
2012-07-30,0,2012
2012-07-31,0,2012
2012-08-01,0,2012
2012-08-02,0,2012
2012-08-03,0,2012
2012-08-04,25.4,2012
2012-08-05,0,2012
2012-08-06,0,2012
2012-08-07,1.27,2012
2012-08-08,8.636,2012
2012-08-09,0,2012
2012-08-10,0,2012
2012-08-11,0.254,2012
2012-08-12,3.81,2012
2012-08-13,0.254,2012
2012-08-14,0,2012
2012-08-15,0.254,2012
2012-08-16,3.048,2012
2012-08-17,0,2012
2012-08-18,0.254,2012
2012-08-19,0,2012
2012-08-20,0,2012
2012-08-21,0,2012
2012-08-22,0,2012
2012-08-23,0,2012
2012-08-24,0,2012
2012-08-25,4.318,2012
2012-08-26,0.508,2012
2012-08-27,0,2012
2012-08-28,0,2012
2012-08-29,0,2012
2012-08-30,0,2012
2012-08-31,0,2012
2012-09-01,0,2012
2012-09-02,0,2012
2012-09-03,2.54,2012
2012-09-04,0,2012
2012-09-05,6.604,2012
2012-09-06,2.286,2012
2012-09-07,13.716,2012
2012-09-08,0,2012
2012-09-09,0,2012
2012-09-10,0,2012
2012-09-11,0,2012
2012-09-12,9.398,2012
2012-09-13,8.382,2012
2012-09-14,0,2012
2012-09-15,0,2012
2012-09-16,0,2012
2012-09-17,1.016,2012
2012-09-18,0,2012
2012-09-19,0,2012
2012-09-20,0,2012
2012-09-21,0,2012
2012-09-22,0,2012
2012-09-23,0,2012
2012-09-24,0,2012
2012-09-25,0,2012
2012-09-26,0,2012
2012-09-27,0,2012
2012-09-28,0,2012
2012-09-29,0,2012
2012-09-30,0,2012
2012-10-01,0,2012
2012-10-02,0,2012
2012-10-03,0,2012
2012-10-04,0.762,2012
2012-10-05,0,2012
2012-10-06,0,2012
2012-10-07,0,2012
2012-10-08,0,2012
2012-10-09,0.762,2012
2012-10-10,0,2012
2012-10-11,0,2012
2012-10-12,0.254,2012
2012-10-13,14.224,2012
2012-10-14,10.414,2012
2012-10-15,0,2012
2012-10-16,0,2012
2012-10-17,1.016,2012
2012-10-18,9.398,2012
2012-10-19,0.254,2012
2012-10-20,0,2012
2012-10-21,0,2012
2012-10-22,3.556,2012
2012-10-23,0,2012
2012-10-24,2.032,2012
2012-10-25,15.494,2012
2012-10-26,0,2012
2012-10-27,0,2012
2012-10-28,0,2012
2012-10-29,0,2012
2012-10-30,0,2012
2012-10-31,0,2012
2012-11-01,0,2012
2012-11-02,0,2012
2012-11-03,0,2012
2012-11-04,2.54,2012
2012-11-05,3.302,2012
2012-11-06,1.27,2012
2012-11-07,0,2012
2012-11-08,0,2012
2012-11-09,0,2012
2012-11-10,0,2012
2012-11-11,8.636,2012
2012-11-12,0,2012
2012-11-13,0,2012
2012-11-14,0,2012
2012-11-15,0,2012
2012-11-16,0,2012
2012-11-17,0,2012
2012-11-18,0.254,2012
2012-11-19,0.254,2012
2012-11-20,0,2012
2012-11-21,0,2012
2012-11-22,0,2012
2012-11-23,0,2012
2012-11-24,0,2012
2012-11-25,0,2012
2012-11-26,0,2012
2012-11-27,0,2012
2012-11-28,0,2012
2012-11-29,0,2012
2012-11-30,0,2012
2012-12-01,0,2012
2012-12-02,0,2012
2012-12-03,0,2012
2012-12-04,0,2012
2012-12-05,0,2012
2012-12-06,0.762,2012
2012-12-07,0,2012
2012-12-08,1.27,2012
2012-12-09,3.302,2012
2012-12-10,0,2012
2012-12-11,0,2012
2012-12-12,0,2012
2012-12-13,0,2012
2012-12-14,1.016,2012
2012-12-15,7.8740000000000006,2012
2012-12-16,0,2012
2012-12-17,0,2012
2012-12-18,0,2012
2012-12-19,6.8580000000000005,2012
2012-12-20,5.08,2012
2012-12-21,0,2012
2012-12-22,0,2012
2012-12-23,0,2012
2012-12-24,0,2012
2012-12-25,0,2012
2012-12-26,0,2012
2012-12-27,0,2012
2012-12-28,0.508,2012
2012-12-29,0,2012
2012-12-30,0,2012
2012-12-31,0,2012
2013-01-01,0,2013
2013-01-02,0,2013
2013-01-03,0,2013
2013-01-04,0,2013
2013-01-05,0,2013
2013-01-06,0,2013
2013-01-07,0,2013
2013-01-08,0,2013
2013-01-09,0,2013
2013-01-10,0.508,2013
2013-01-11,0,2013
2013-01-12,0,2013
2013-01-13,0,2013
2013-01-14,0,2013
2013-01-15,0,2013
2013-01-16,0,2013
2013-01-17,0,2013
2013-01-18,0,2013
2013-01-19,0,2013
2013-01-20,3.81,2013
2013-01-21,0,2013
2013-01-22,0,2013
2013-01-23,0,2013
2013-01-24,0,2013
2013-01-25,0,2013
2013-01-26,0,2013
2013-01-27,2.54,2013
2013-01-28,0.762,2013
2013-01-29,0.254,2013
2013-01-30,4.8260000000000005,2013
2013-01-31,0,2013
2013-02-01,0,2013
2013-02-02,1.27,2013
2013-02-03,0,2013
2013-02-04,0,2013
2013-02-05,0,2013
2013-02-06,0,2013
2013-02-07,1.016,2013
2013-02-08,0,2013
2013-02-09,0.254,2013
2013-02-10,3.302,2013
2013-02-11,0,2013
2013-02-12,0,2013
2013-02-13,0,2013
2013-02-14,0,2013
2013-02-15,0,2013
2013-02-16,0,2013
2013-02-17,0,2013
2013-02-18,0.762,2013
2013-02-19,0,2013
2013-02-20,0,2013
2013-02-21,6.35,2013
2013-02-22,3.81,2013
2013-02-23,0,2013
2013-02-24,0,2013
2013-02-25,0,2013
2013-02-26,7.62,2013
2013-02-27,1.27,2013
2013-02-28,0,2013
2013-03-01,0.254,2013
2013-03-02,0,2013
2013-03-03,2.54,2013
2013-03-04,1.27,2013
2013-03-05,1.778,2013
2013-03-06,0,2013
2013-03-07,0,2013
2013-03-08,1.27,2013
2013-03-09,15.748000000000001,2013
2013-03-10,14.986,2013
2013-03-11,4.8260000000000005,2013
2013-03-12,0.508,2013
2013-03-13,0,2013
2013-03-14,0,2013
2013-03-15,0,2013
2013-03-16,0,2013
2013-03-17,0,2013
2013-03-18,2.032,2013
2013-03-19,0,2013
2013-03-20,0.254,2013
2013-03-21,0,2013
2013-03-22,0.254,2013
2013-03-23,0,2013
2013-03-24,2.032,2013
2013-03-25,0,2013
2013-03-26,0,2013
2013-03-27,0,2013
2013-03-28,0,2013
2013-03-29,0,2013
2013-03-30,1.778,2013
2013-03-31,0.254,2013
2013-04-01,0,2013
2013-04-02,0,2013
2013-04-03,0,2013
2013-04-04,0,2013
2013-04-05,0,2013
2013-04-06,0,2013
2013-04-07,0.508,2013
2013-04-08,0.508,2013
2013-04-09,33.02,2013
2013-04-10,14.732,2013
2013-04-11,7.62,2013
2013-04-12,0.254,2013
2013-04-13,0.762,2013
2013-04-14,15.494,2013
2013-04-15,0.508,2013
2013-04-16,0,2013
2013-04-17,32.766,2013
2013-04-18,11.938,2013
2013-04-19,0.254,2013
2013-04-20,0,2013
2013-04-21,5.588,2013
2013-04-22,9.652000000000001,2013
2013-04-23,0,2013
2013-04-24,0.254,2013
2013-04-25,0,2013
2013-04-26,0,2013
2013-04-27,0,2013
2013-04-28,0,2013
2013-04-29,17.272000000000002,2013
2013-04-30,0,2013
2013-05-01,4.572,2013
2013-05-02,39.116,2013
2013-05-03,9.906,2013
2013-05-04,6.35,2013
2013-05-05,1.27,2013
2013-05-06,0,2013
2013-05-07,0,2013
2013-05-08,4.318,2013
2013-05-09,24.13,2013
2013-05-10,0,2013
2013-05-11,0,2013
2013-05-12,0,2013
2013-05-13,0,2013
2013-05-14,0,2013
2013-05-15,0,2013
2013-05-16,0.254,2013
2013-05-17,1.016,2013
2013-05-18,0,2013
2013-05-19,22.606,2013
2013-05-20,2.54,2013
2013-05-21,0,2013
2013-05-22,0,2013
2013-05-23,0,2013
2013-05-24,0.254,2013
2013-05-25,20.32,2013
2013-05-26,12.954,2013
2013-05-27,32.766,2013
2013-05-28,7.112,2013
2013-05-29,20.574,2013
2013-05-30,4.064,2013
2013-05-31,0,2013
2013-06-01,2.286,2013
2013-06-02,0,2013
2013-06-03,0,2013
2013-06-04,10.668,2013
2013-06-05,5.334,2013
2013-06-06,0,2013
2013-06-07,0,2013
2013-06-08,10.16,2013
2013-06-09,4.8260000000000005,2013
2013-06-10,0,2013
2013-06-11,0,2013
2013-06-12,4.064,2013
2013-06-13,0,2013
2013-06-14,12.954,2013
2013-06-15,7.112,2013
2013-06-16,0,2013
2013-06-17,0,2013
2013-06-18,0,2013
2013-06-19,0,2013
2013-06-20,0,2013
2013-06-21,0,2013
2013-06-22,0,2013
2013-06-23,5.08,2013
2013-06-24,9.398,2013
2013-06-25,2.032,2013
2013-06-26,1.524,2013
2013-06-27,1.016,2013
2013-06-28,0,2013
2013-06-29,1.524,2013
2013-06-30,0,2013
2013-07-01,0,2013
2013-07-02,0,2013
2013-07-03,0,2013
2013-07-04,0,2013
2013-07-05,0,2013
2013-07-06,0,2013
2013-07-07,0,2013
2013-07-08,0,2013
2013-07-09,6.096,2013
2013-07-10,0,2013
2013-07-11,0,2013
2013-07-12,0,2013
2013-07-13,0,2013
2013-07-14,0,2013
2013-07-15,0,2013
2013-07-16,0,2013
2013-07-17,0,2013
2013-07-18,0,2013
2013-07-19,0.508,2013
2013-07-20,0,2013
2013-07-21,0.762,2013
2013-07-22,13.97,2013
2013-07-23,0,2013
2013-07-24,0,2013
2013-07-25,0,2013
2013-07-26,0,2013
2013-07-27,0,2013
2013-07-28,0,2013
2013-07-29,0.254,2013
2013-07-30,1.778,2013
2013-07-31,0,2013
2013-08-01,0,2013
2013-08-02,0.508,2013
2013-08-03,0,2013
2013-08-04,0,2013
2013-08-05,0.254,2013
2013-08-06,0,2013
2013-08-07,0.254,2013
2013-08-08,0,2013
2013-08-09,0,2013
2013-08-10,0,2013
2013-08-11,22.352,2013
2013-08-12,2.032,2013
2013-08-13,0,2013
2013-08-14,0,2013
2013-08-15,0,2013
2013-08-16,0,2013
2013-08-17,0,2013
2013-08-18,0,2013
2013-08-19,0,2013
2013-08-20,0,2013
2013-08-21,0,2013
2013-08-22,0.254,2013
2013-08-23,0,2013
2013-08-24,0,2013
2013-08-25,0,2013
2013-08-26,0,2013
2013-08-27,0,2013
2013-08-28,0,2013
2013-08-29,0,2013
2013-08-30,0.254,2013
2013-08-31,0,2013
2013-09-01,4.064,2013
2013-09-02,0,2013
2013-09-03,0,2013
2013-09-04,0,2013
2013-09-05,0,2013
2013-09-06,0,2013
2013-09-07,0,2013
2013-09-08,0,2013
2013-09-09,0,2013
2013-09-10,1.27,2013
2013-09-11,2.286,2013
2013-09-12,0,2013
2013-09-13,0,2013
2013-09-14,0,2013
2013-09-15,0,2013
2013-09-16,0,2013
2013-09-17,4.8260000000000005,2013
2013-09-18,7.619999999999999,2013
2013-09-19,10.668,2013
2013-09-20,0,2013
2013-09-21,0,2013
2013-09-22,0,2013
2013-09-23,0,2013
2013-09-24,0,2013
2013-09-25,0,2013
2013-09-26,0,2013
2013-09-27,0,2013
2013-09-28,2.032,2013
2013-09-29,0,2013
2013-09-30,0,2013
2013-10-01,0,2013
2013-10-02,0,2013
2013-10-03,1.27,2013
2013-10-04,25.146,2013
2013-10-05,0.254,2013
2013-10-06,0.762,2013
2013-10-07,0,2013
2013-10-08,0,2013
2013-10-09,0,2013
2013-10-10,0,2013
2013-10-11,0,2013
2013-10-12,0.254,2013
2013-10-13,0,2013
2013-10-14,8.128,2013
2013-10-15,3.302,2013
2013-10-16,0.254,2013
2013-10-17,0.254,2013
2013-10-18,0.254,2013
2013-10-19,0.254,2013
2013-10-20,0,2013
2013-10-21,0,2013
2013-10-22,3.81,2013
2013-10-23,1.27,2013
2013-10-24,0,2013
2013-10-25,0,2013
2013-10-26,0,2013
2013-10-27,0,2013
2013-10-28,0,2013
2013-10-29,0.762,2013
2013-10-30,7.874,2013
2013-10-31,0,2013
2013-11-01,0.254,2013
2013-11-02,0,2013
2013-11-03,0.254,2013
2013-11-04,2.286,2013
2013-11-05,22.606,2013
2013-11-06,0,2013
2013-11-07,0,2013
2013-11-08,0,2013
2013-11-09,0,2013
2013-11-10,0,2013
2013-11-11,2.54,2013
2013-11-12,0,2013
2013-11-13,0,2013
2013-11-14,0,2013
2013-11-15,0,2013
2013-11-16,0.508,2013
2013-11-17,8.636,2013
2013-11-18,0,2013
2013-11-19,0,2013
2013-11-20,0,2013
2013-11-21,6.096,2013
2013-11-22,1.27,2013
2013-11-23,0,2013
2013-11-24,0,2013
2013-11-25,2.032,2013
2013-11-26,0,2013
2013-11-27,0,2013
2013-11-28,0,2013
2013-11-29,0,2013
2013-11-30,0,2013
2013-12-01,0,2013
2013-12-02,0,2013
2013-12-03,0.254,2013
2013-12-04,0,2013
2013-12-05,0,2013
2013-12-06,0,2013
2013-12-07,0,2013
2013-12-08,8.636,2013
2013-12-09,0,2013
2013-12-10,1.524,2013
2013-12-11,1.27,2013
2013-12-12,0,2013
2013-12-13,0,2013
2013-12-14,0,2013
2013-12-15,0,2013
2013-12-16,0,2013
2013-12-17,0.254,2013
2013-12-18,0,2013
2013-12-19,0,2013
2013-12-20,0,2013
2013-12-21,0.254,2013
2013-12-22,5.8420000000000005,2013
2013-12-23,0,2013
2013-12-24,0.508,2013
2013-12-25,0,2013
2013-12-26,0,2013
2013-12-27,0,2013
2013-12-28,0,2013
2013-12-29,0,2013
2013-12-30,5.08,2013
2013-12-31,0,2013
2014-01-01,0,2014
2014-01-02,0,2014
2014-01-03,0,2014
2014-01-04,0,2014
2014-01-05,0,2014
2014-01-06,0,2014
2014-01-07,0,2014
2014-01-08,0,2014
2014-01-09,0,2014
2014-01-10,0,2014
2014-01-11,0,2014
2014-01-12,0,2014
2014-01-13,0,2014
2014-01-14,0,2014
2014-01-15,0,2014
2014-01-16,0,2014
2014-01-17,0,2014
2014-01-18,0,2014
2014-01-19,0,2014
2014-01-20,0,2014
2014-01-21,0,2014
2014-01-22,0,2014
2014-01-23,0,2014
2014-01-24,0,2014
2014-01-25,0,2014
2014-01-26,0,2014
2014-01-27,0,2014
2014-01-28,0,2014
2014-01-29,0,2014
2014-01-30,0,2014
2014-01-31,0,2014
2014-02-01,0,2014
2014-02-02,0,2014
2014-02-03,0,2014
2014-02-04,0,2014
2014-02-05,0,2014
2014-02-06,0,2014
2014-02-07,0,2014
2014-02-08,0,2014
2014-02-09,0,2014
2014-02-10,0,2014
2014-02-11,0,2014
2014-02-12,0,2014
2014-02-13,0,2014
2014-02-14,0,2014
2014-02-15,0,2014
2014-02-16,0,2014
2014-02-17,0,2014
2014-02-18,0,2014
2014-02-19,0,2014
2014-02-20,0,2014
2014-02-21,0,2014
2014-02-22,0,2014
2014-02-23,0,2014
2014-02-24,0,2014
2014-02-25,0,2014
2014-02-26,0,2014
2014-02-27,0,2014
2014-02-28,0,2014
2014-03-01,0,2014
2014-03-02,0,2014
2014-03-03,0,2014
2014-03-04,0,2014
2014-03-05,0,2014
2014-03-06,0,2014
2014-03-07,0,2014
2014-03-08,0,2014
2014-03-09,0,2014
2014-03-10,0,2014
2014-03-11,0,2014
2014-03-12,0,2014
2014-03-13,0,2014
2014-03-14,0,2014
2014-03-15,0,2014
2014-03-16,0,2014
2014-03-17,0,2014
2014-03-18,0,2014
2014-03-19,0,2014
2014-03-20,0,2014
2014-03-21,0,2014
2014-03-22,0,2014
2014-03-23,0,2014
2014-03-24,0,2014
2014-03-25,0,2014
2014-03-26,0,2014
2014-03-27,0.5,2014
2014-03-28,0,2014
2014-03-29,0,2014
2014-03-30,0,2014
2014-03-31,0.25,2014
2014-04-01,0,2014
2014-04-02,0,2014
2014-04-03,0,2014
2014-04-04,0.25,2014
2014-04-05,0,2014
2014-04-06,0,2014
2014-04-07,0,2014
2014-04-08,0,2014
2014-04-09,3.81,2014
2014-04-10,0,2014
2014-04-11,0,2014
2014-04-12,1.02,2014
2014-04-13,44.21,2014
2014-04-14,1.52,2014
2014-04-15,0,2014
2014-04-16,0,2014
2014-04-17,0,2014
2014-04-18,0,2014
2014-04-19,0,2014
2014-04-20,2.03,2014
2014-04-21,0,2014
2014-04-22,0,2014
2014-04-23,4.57,2014
2014-04-24,5.32,2014
2014-04-25,0,2014
2014-04-26,0,2014
2014-04-27,27.43,2014
2014-04-28,21.84,2014
2014-04-29,4.0600000000000005,2014
2014-04-30,7.86,2014
2014-05-01,0.5,2014
2014-05-02,0,2014
2014-05-03,0.25,2014
2014-05-04,0,2014
2014-05-05,0,2014
2014-05-06,0,2014
2014-05-07,0,2014
2014-05-08,0.25,2014
2014-05-09,0,2014
2014-05-10,0,2014
2014-05-11,12.190000000000001,2014
2014-05-12,18.29,2014
2014-05-13,0,2014
2014-05-14,1.77,2014
2014-05-15,1.78,2014
2014-05-16,0,2014
2014-05-17,0,2014
2014-05-18,0,2014
2014-05-19,0.76,2014
2014-05-20,40.89,2014
2014-05-21,0,2014
2014-05-22,0,2014
2014-05-23,0,2014
2014-05-24,0,2014
2014-05-25,1.01,2014
2014-05-26,17.02,2014
2014-05-27,3.04,2014
2014-05-28,0,2014
2014-05-29,0,2014
2014-05-30,0,2014
2014-05-31,0,2014
2014-06-01,19.3,2014
2014-06-02,0.25,2014
2014-06-03,20.07,2014
2014-06-04,4.83,2014
2014-06-05,0,2014
2014-06-06,0,2014
2014-06-07,11.69,2014
2014-06-08,0,2014
2014-06-09,0,2014
2014-06-10,0,2014
2014-06-11,0,2014
2014-06-12,0,2014
2014-06-13,0,2014
2014-06-14,0,2014
2014-06-15,0,2014
2014-06-16,0,2014
2014-06-17,30.49,2014
2014-06-18,0.5,2014
2014-06-19,26.43,2014
2014-06-20,0,2014
2014-06-21,0,2014
2014-06-22,24.12,2014
2014-06-23,0.25,2014
2014-06-24,0,2014
2014-06-25,0,2014
2014-06-26,8.88,2014
2014-06-27,40.13,2014
2014-06-28,5.33,2014
2014-06-29,1.77,2014
2014-06-30,31.490000000000002,2014
2014-07-01,0.76,2014
2014-07-02,0.25,2014
2014-07-03,0,2014
2014-07-04,0,2014
2014-07-05,20.82,2014
2014-07-06,0,2014
2014-07-07,0,2014
2014-07-08,0.25,2014
2014-07-09,0,2014
2014-07-10,0,2014
2014-07-11,3.17,2014
2014-07-12,26.92,2014
2014-07-13,1.27,2014
2014-07-14,0,2014
2014-07-15,0,2014
2014-07-16,0,2014
2014-07-17,0,2014
2014-07-18,0,2014
2014-07-19,0,2014
2014-07-20,0,2014
2014-07-21,0,2014
2014-07-22,0,2014
2014-07-23,0,2014
2014-07-24,1,2014
2014-07-25,3.81,2014
2014-07-26,0,2014
2014-07-27,0,2014
2014-07-28,0,2014
2014-07-29,0,2014
2014-07-30,0,2014
2014-07-31,0,2014
2014-08-01,0,2014
2014-08-02,0,2014
2014-08-03,0,2014
2014-08-04,0,2014
2014-08-05,0,2014
2014-08-06,25.9,2014
2014-08-07,1.52,2014
2014-08-08,0,2014
2014-08-09,0,2014
2014-08-10,0,2014
2014-08-11,0,2014
2014-08-12,0,2014
2014-08-13,0,2014
2014-08-14,0,2014
2014-08-15,7.61,2014
2014-08-16,0,2014
2014-08-17,0,2014
2014-08-18,0,2014
2014-08-19,0,2014
2014-08-20,6.6,2014
2014-08-21,3.3,2014
2014-08-22,3.55,2014
2014-08-23,8.38,2014
2014-08-24,0,2014
2014-08-25,0,2014
2014-08-26,22.1,2014
2014-08-27,0,2014
2014-08-28,25.14,2014
2014-08-29,30.48,2014
2014-08-30,0,2014
2014-08-31,41.65,2014
2014-09-01,0.25,2014
2014-09-02,1.27,2014
2014-09-03,0,2014
2014-09-04,0,2014
2014-09-05,17.27,2014
2014-09-06,0.25,2014
