date,doy,pet_mm
2012-01-01,1,1.6764
2012-01-02,2,1.2446
2012-01-03,3,1.2192
2012-01-04,4,1.524
2012-01-05,5,3.302
2012-01-06,6,1.6764
2012-01-07,7,0.9144
2012-01-08,8,0.4318
2012-01-09,9,2.8194
2012-01-10,10,2.0574
2012-01-11,11,1.397
2012-01-12,12,0.5588
2012-01-13,13,0.635
2012-01-14,14,0.3556
2012-01-15,15,2.2098
2012-01-16,16,1.778
2012-01-17,17,0.889
2012-01-18,18,1.4478
2012-01-19,19,0.7874
2012-01-20,20,0.2286
2012-01-21,21,0.9398
2012-01-22,22,0.6858
2012-01-23,23,0.508
2012-01-24,24,0.254
2012-01-25,25,0.4826
2012-01-26,26,0.635
2012-01-27,27,0.8382
2012-01-28,28,2.3622
2012-01-29,29,1.5494
2012-01-30,30,3.7084
2012-01-31,31,2.2352
2012-02-01,32,0.9652
2012-02-02,33,1.016
2012-02-03,34,0
2012-02-04,35,0.1016
2012-02-05,36,0.0508
2012-02-06,37,0.3302
2012-02-07,38,0.381
2012-02-08,39,0.7366
2012-02-09,40,0.5588
2012-02-10,41,1.4986
2012-02-11,42,2.1336
2012-02-12,43,1.6256
2012-02-13,44,0.4318
2012-02-14,45,0.889
2012-02-15,46,1.143
2012-02-16,47,1.8796
2012-02-17,48,2.3368
2012-02-18,49,1.6002
2012-02-19,50,1.778
2012-02-20,51,2.7178
2012-02-21,52,1.6256
2012-02-22,53,1.651
2012-02-23,54,0.2032
2012-02-24,55,1.1684
2012-02-25,56,1.3462
2012-02-26,57,2.8956
2012-02-27,58,1.6764
2012-02-28,59,1.2192
2012-02-29,60,0.8636
2012-03-01,61,1.143
2012-03-02,62,1.8034
2012-03-03,63,1.905
2012-03-04,64,0.3302
2012-03-05,65,2.3876
2012-03-06,66,6.3754
2012-03-07,67,2.8448
2012-03-08,68,3.81
2012-03-09,69,3.937
2012-03-10,70,8.1026
2012-03-11,71,2.8448
2012-03-12,72,2.7686
2012-03-13,73,5.0546
2012-03-14,74,4.826
2012-03-15,75,4.0132
2012-03-16,76,4.8514
2012-03-17,77,4.1656
2012-03-18,78,4.6482
2012-03-19,79,3.4036
2012-03-20,80,1.016
2012-03-21,81,1.0668
2012-03-22,82,0.6604
2012-03-23,83,3.0734
2012-03-24,84,3.5306
2012-03-25,85,3.8862
2012-03-26,86,4.5974
2012-03-27,87,8.5344
2012-03-28,88,5.6388
2012-03-29,89,5.0292
2012-03-30,90,1.7018
2012-03-31,91,2.286
2012-04-01,92,5.2832
2012-04-02,93,6.4262
2012-04-03,94,5.0292
2012-04-04,95,6.5278
2012-04-05,96,6.6548
2012-04-06,97,6.3754
2012-04-07,98,4.4958
2012-04-08,99,8.4074
2012-04-09,100,8.2804
2012-04-10,101,6.6294
2012-04-11,102,4.9784
2012-04-12,103,4.3434
2012-04-13,104,0.7112
2012-04-14,105,0.7874
2012-04-15,106,4.8514
2012-04-16,107,3.3782
2012-04-17,108,4.699
2012-04-18,109,4.4704
2012-04-19,110,1.1176
2012-04-20,111,4.5466
2012-04-21,112,1.905
2012-04-22,113,2.3368
2012-04-23,114,5.3594
2012-04-24,115,7.0612
2012-04-25,116,7.3914
2012-04-26,117,7.6454
2012-04-27,118,5.969
2012-04-28,119,0.7112
2012-04-29,120,0.3556
2012-04-30,121,2.5146
2012-05-01,122,4.4958
2012-05-02,123,2.4892
2012-05-03,124,4.9022
2012-05-04,125,5.1816
2012-05-05,126,5.5626
2012-05-06,127,3.5306
2012-05-07,128,6.223
2012-05-08,129,5.4864
2012-05-09,130,5.1562
2012-05-10,131,7.8232
2012-05-11,132,7.9756
2012-05-12,133,6.6802
2012-05-13,134,6.6802
2012-05-14,135,9.0424
2012-05-15,136,12.7762
2012-05-16,137,7.7216
2012-05-17,138,10.2616
2012-05-18,139,11.049
2012-05-19,140,7.7978
2012-05-20,141,6.4262
2012-05-21,142,7.0866
2012-05-22,143,9.6774
2012-05-23,144,10.8458
2012-05-24,145,4.9276
2012-05-25,146,1.8034
2012-05-26,147,5.3594
2012-05-27,148,9.8044
2012-05-28,149,8.9916
2012-05-29,150,10.033
2012-05-30,151,5.7658
2012-05-31,152,0.9906
2012-06-01,153,5.7912
2012-06-02,154,6.4008
2012-06-03,155,5.8166
2012-06-04,156,7.8486
2012-06-05,157,6.4008
2012-06-06,158,5.969
2012-06-07,159,4.572
2012-06-08,160,9.0424
2012-06-09,161,9.5504
2012-06-10,162,9.0424
2012-06-11,163,8.3566
2012-06-12,164,7.5692
2012-06-13,165,7.3152
2012-06-14,166,9.8298
2012-06-15,167,3.7592
2012-06-16,168,3.7084
2012-06-17,169,7.5692
2012-06-18,170,10.2108
2012-06-19,171,9.8806
2012-06-20,172,5.9182
2012-06-21,173,5.3848
2012-06-22,174,6.223
2012-06-23,175,2.9718
2012-06-24,176,6.223
2012-06-25,177,7.0866
2012-06-26,178,8.3058
2012-06-27,179,10.8458
2012-06-28,180,4.572
2012-06-29,181,2.9718
2012-06-30,182,5.588
2012-07-01,183,6.7818
2012-07-02,184,7.0866
2012-07-03,185,7.874
2012-07-04,186,8.0518
2012-07-05,187,5.6388
2012-07-06,188,7.239
2012-07-07,189,6.4262
2012-07-08,190,5.8928
2012-07-09,191,5.5118
2012-07-10,192,7.1882
2012-07-11,193,7.1882
2012-07-12,194,6.5532
2012-07-13,195,3.7338
2012-07-14,196,4.826
2012-07-15,197,6.2992
2012-07-16,198,6.985
2012-07-17,199,6.4262
2012-07-18,200,6.5278
2012-07-19,201,6.9088
2012-07-20,202,5.8928
2012-07-21,203,4.2926
2012-07-22,204,7.62
2012-07-23,205,7.0866
2012-07-24,206,7.9502
2012-07-25,207,9.6774
2012-07-26,208,7.62
2012-07-27,209,5.9944
2012-07-28,210,0.8128
2012-07-29,211,5.7658
2012-07-30,212,6.2738
2012-07-31,213,6.2992
2012-08-01,214,6.6802
2012-08-02,215,6.3246
2012-08-03,216,6.858
2012-08-04,217,4.0894
2012-08-05,218,6.2992
2012-08-06,219,6.477
2012-08-07,220,5.207
2012-08-08,221,3.0734
2012-08-09,222,5.3594
2012-08-10,223,4.2926
2012-08-11,224,4.572
2012-08-12,225,1.1938
2012-08-13,226,5.207
2012-08-14,227,5.8166
2012-08-15,228,6.5278
2012-08-16,229,5.0546
2012-08-17,230,5.4864
2012-08-18,231,2.8448
2012-08-19,232,3.683
2012-08-20,233,4.6736
2012-08-21,234,5.5626
2012-08-22,235,6.7818
2012-08-23,236,7.4422
2012-08-24,237,6.3754
2012-08-25,238,0.7112
2012-08-26,239,3.6576
2012-08-27,240,4.8006
2012-08-28,241,5.588
2012-08-29,242,7.0104
2012-08-30,243,8.1788
2012-08-31,244,4.4196
2012-09-01,245,4.5974
2012-09-02,246,4.826
2012-09-03,247,0.9144
2012-09-04,248,5.4356
2012-09-05,249,6.0198
2012-09-06,250,5.969
2012-09-07,251,3.7592
2012-09-08,252,7.0358
2012-09-09,253,4.7244
2012-09-10,254,6.4516
2012-09-11,255,8.4582
2012-09-12,256,3.7338
2012-09-13,257,1.524
2012-09-14,258,5.4102
2012-09-15,259,5.4102
2012-09-16,260,3.6322
2012-09-17,261,3.0226
2012-09-18,262,4.445
2012-09-19,263,8.0772
2012-09-20,264,5.3086
2012-09-21,265,4.2164
2012-09-22,266,4.8768
2012-09-23,267,4.191
2012-09-24,268,5.3086
2012-09-25,269,4.7244
2012-09-26,270,5.1308
2012-09-27,271,3.9878
2012-09-28,272,3.4036
2012-09-29,273,4.6482
2012-09-30,274,5.1562
2012-10-01,275,5.5118
2012-10-02,276,4.3688
2012-10-03,277,4.7752
2012-10-04,278,4.2164
2012-10-05,279,2.8702
2012-10-06,280,1.9558
2012-10-07,281,3.5814
2012-10-08,282,6.1468
2012-10-09,283,2.032
2012-10-10,284,4.0132
2012-10-11,285,4.6228
2012-10-12,286,4.3434
2012-10-13,287,1.4732
2012-10-14,288,2.413
2012-10-15,289,3.2512
2012-10-16,290,3.7592
2012-10-17,291,3.7846
2012-10-18,292,1.7272
2012-10-19,293,0.3048
2012-10-20,294,1.0922
2012-10-21,295,3.5814
2012-10-22,296,1.651
2012-10-23,297,0.9652
2012-10-24,298,1.3716
2012-10-25,299,1.2446
2012-10-26,300,1.3208
2012-10-27,301,1.2446
2012-10-28,302,1.6002
2012-10-29,303,2.3622
2012-10-30,304,1.8288
2012-10-31,305,2.3876
2012-11-01,306,2.5908
2012-11-02,307,1.778
2012-11-03,308,1.524
2012-11-04,309,0.8128
2012-11-05,310,0.3302
2012-11-06,311,1.3462
2012-11-07,312,0.9906
2012-11-08,313,2.413
2012-11-09,314,1.4224
2012-11-10,315,3.9878
2012-11-11,316,3.2766
2012-11-12,317,1.3208
2012-11-13,318,2.0066
2012-11-14,319,2.5654
2012-11-15,320,1.9304
2012-11-16,321,1.6764
2012-11-17,322,2.8448
2012-11-18,323,3.0734
2012-11-19,324,1.3716
2012-11-20,325,1.4478
2012-11-21,326,4.191
2012-11-22,327,3.7338
2012-11-23,328,2.159
2012-11-24,329,0.8382
2012-11-25,330,1.0414
2012-11-26,331,0.9906
2012-11-27,332,1.2446
2012-11-28,333,1.2192
2012-11-29,334,1.143
2012-11-30,335,0.6604
2012-12-01,336,0.3556
2012-12-02,337,0.762
2012-12-03,338,2.2098
2012-12-04,339,2.5654
2012-12-05,340,2.3368
2012-12-06,341,1.2954
2012-12-07,342,1.143
2012-12-08,343,0.508
2012-12-09,344,0.5842
2012-12-10,345,0.6096
2012-12-11,346,1.0922
2012-12-12,347,3.0734
2012-12-13,348,2.7686
2012-12-14,349,1.4986
2012-12-15,350,0.0254
2012-12-16,351,0.2286
2012-12-17,352,0.1016
2012-12-18,353,0
2012-12-19,354,0.127
2012-12-20,355,0.5334
2012-12-21,356,0.3302
2012-12-22,357,0.508
2012-12-23,358,0.3048
2012-12-24,359,0.5334
2012-12-25,360,0.4572
2012-12-26,361,0.3556
2012-12-27,362,0.2032
2012-12-28,363,0.0762
2012-12-29,364,0.2032
2012-12-30,365,0.9398
2012-12-31,366,0.6604
